REEF_SITE,TRANSECT_NO,YEAR,MONTH,SURVEY_DATE,GROWTH_FORM,BLEACH_STATUS,ABUNDANCE
HS,3,2014,MAY,21/05/14,Plate,PB,8
HS,3,2014,MAY,21/05/14,Plate,H,40
HS,3,2014,MAY,21/05/14,Solitary,FB,3
HS,3,2014,MAY,21/05/14,Solitary,PB,8
HS,3,2014,MAY,21/05/14,Solitary,H,3
HY,1,2014,JUN,28/06/14,Massive,FB,16
HY,1,2014,JUN,28/06/14,Massive,PB,55
HY,1,2014,JUN,28/06/14,Massive,H,26
HY,1,2014,JUN,28/06/14,Branching,FB,0
HY,1,2014,JUN,28/06/14,Branching,PB,0
HY,1,2014,JUN,28/06/14,Branching,H,0
HY,1,2014,JUN,28/06/14,Plate,FB,0
HY,1,2014,JUN,28/06/14,Plate,PB,12
HY,1,2014,JUN,28/06/14,Plate,H,4
HY,1,2014,JUN,28/06/14,Solitary,FB,0
HY,1,2014,JUN,28/06/14,Solitary,PB,0
HY,1,2014,JUN,28/06/14,Solitary,H,2
HY,2,2014,JUN,28/06/14,Massive,FB,11
HY,2,2014,JUN,28/06/14,Massive,PB,84
HY,2,2014,JUN,28/06/14,Massive,H,39
HY,2,2014,JUN,28/06/14,Branching,FB,0
HY,2,2014,JUN,28/06/14,Branching,PB,0
HY,2,2014,JUN,28/06/14,Branching,H,0
HY,2,2014,JUN,28/06/14,Plate,FB,0
HY,2,2014,JUN,28/06/14,Plate,PB,17
HY,2,2014,JUN,28/06/14,Plate,H,5
HY,2,2014,JUN,28/06/14,Solitary,FB,0
HY,2,2014,JUN,28/06/14,Solitary,PB,1
HY,2,2014,JUN,28/06/14,Solitary,H,0
KM,1,2014,JUN,4/06/14,Massive,FB,16
KM,1,2014,JUN,4/06/14,Massive,PB,43
KM,1,2014,JUN,4/06/14,Massive,H,17
KM,1,2014,JUN,4/06/14,Branching,FB,1
KM,1,2014,JUN,4/06/14,Branching,PB,2
KM,1,2014,JUN,4/06/14,Branching,H,0
KM,1,2014,JUN,4/06/14,Plate,FB,2
KM,1,2014,JUN,4/06/14,Plate,PB,9
KM,1,2014,JUN,4/06/14,Plate,H,7
KM,1,2014,JUN,4/06/14,Solitary,FB,6
KM,1,2014,JUN,4/06/14,Solitary,PB,1
KM,1,2014,JUN,4/06/14,Solitary,H,0
KM,1,2014,JUN,21/06/14,Massive,FB,19
KM,1,2014,JUN,21/06/14,Massive,PB,35
KM,1,2014,JUN,21/06/14,Massive,H,14
KM,1,2014,JUN,21/06/14,Branching,FB,2
KM,1,2014,JUN,21/06/14,Branching,PB,2
KM,1,2014,JUN,21/06/14,Branching,H,2
KM,1,2014,JUN,21/06/14,Plate,FB,4
KM,1,2014,JUN,21/06/14,Plate,PB,2
KM,1,2014,JUN,21/06/14,Plate,H,3
KM,1,2014,JUN,21/06/14,Solitary,FB,0
KM,1,2014,JUN,21/06/14,Solitary,PB,0
KM,1,2014,JUN,21/06/14,Solitary,H,10
KM,2,2014,JUN,21/06/14,Massive,FB,20
KM,2,2014,JUN,21/06/14,Massive,PB,21
KM,2,2014,JUN,21/06/14,Massive,H,15
KM,2,2014,JUN,21/06/14,Branching,FB,1
KM,2,2014,JUN,21/06/14,Branching,PB,0
KM,2,2014,JUN,21/06/14,Branching,H,5
KM,2,2014,JUN,21/06/14,Plate,FB,1
KM,2,2014,JUN,21/06/14,Plate,PB,2
KM,2,2014,JUN,21/06/14,Plate,H,8
KM,2,2014,JUN,21/06/14,Solitary,FB,0
KM,2,2014,JUN,21/06/14,Solitary,PB,0
KM,2,2014,JUN,21/06/14,Solitary,H,9
HS,1,2014,AUG,25/08/14,Massive,FB,2
HS,1,2014,AUG,25/08/14,Massive,PB,18
HS,1,2014,AUG,25/08/14,Massive,H,16
HS,1,2014,AUG,25/08/14,Branching,FB,0
HS,1,2014,AUG,25/08/14,Branching,PB,2
HS,1,2014,AUG,25/08/14,Branching,H,5
HS,1,2014,AUG,25/08/14,Plate,FB,0
HS,1,2014,AUG,25/08/14,Plate,PB,11
HS,1,2014,AUG,25/08/14,Plate,H,7
HS,1,2014,AUG,25/08/14,Solitary,FB,0
HS,1,2014,AUG,25/08/14,Solitary,PB,0
HS,1,2014,AUG,25/08/14,Solitary,H,0
HS,2,2014,AUG,25/08/14,Massive,FB,1
HS,2,2014,AUG,25/08/14,Massive,PB,15
HS,2,2014,AUG,25/08/14,Massive,H,10
HS,2,2014,AUG,25/08/14,Branching,FB,0
HS,2,2014,AUG,25/08/14,Branching,PB,0
HS,2,2014,AUG,25/08/14,Branching,H,3
HS,2,2014,AUG,25/08/14,Plate,FB,0
HS,2,2014,AUG,25/08/14,Plate,PB,3
HS,2,2014,AUG,25/08/14,Plate,H,9
HS,2,2014,AUG,25/08/14,Solitary,FB,1
HS,2,2014,AUG,25/08/14,Solitary,PB,0
HS,2,2014,AUG,25/08/14,Solitary,H,1
HS,3,2014,AUG,25/08/14,Massive,FB,1
HS,3,2014,AUG,25/08/14,Massive,PB,8
HS,3,2014,AUG,25/08/14,Massive,H,28
HS,3,2014,AUG,25/08/14,Branching,FB,1
HS,3,2014,AUG,25/08/14,Branching,PB,4
HS,3,2014,AUG,25/08/14,Branching,H,17
HS,3,2014,AUG,25/08/14,Plate,FB,0
HS,3,2014,AUG,25/08/14,Plate,PB,3
HS,3,2014,AUG,25/08/14,Plate,H,13
HS,3,2014,AUG,25/08/14,Solitary,FB,0
HS,3,2014,AUG,25/08/14,Solitary,PB,0
HS,3,2014,AUG,25/08/14,Solitary,H,3
HK,1,2014,SEP,21/09/14,Massive,FB,0
HK,1,2014,SEP,21/09/14,Massive,PB,29
HK,1,2014,SEP,21/09/14,Massive,H,102
HK,1,2014,SEP,21/09/14,Branching,FB,0
HK,1,2014,SEP,21/09/14,Branching,PB,30
HK,1,2014,SEP,21/09/14,Branching,H,50
HK,1,2014,SEP,21/09/14,Plate,FB,0
HK,1,2014,SEP,21/09/14,Plate,PB,5
HK,1,2014,SEP,21/09/14,Plate,H,36
HK,1,2014,SEP,21/09/14,Solitary,FB,1
HK,1,2014,SEP,21/09/14,Solitary,PB,2
HK,1,2014,SEP,21/09/14,Solitary,H,5
HK,2,2014,SEP,21/09/14,Massive,FB,0
HK,2,2014,SEP,21/09/14,Massive,PB,50
HK,2,2014,SEP,21/09/14,Massive,H,108
HK,2,2014,SEP,21/09/14,Branching,FB,0
HK,2,2014,SEP,21/09/14,Branching,PB,39
HK,2,2014,SEP,21/09/14,Branching,H,54
HK,2,2014,SEP,21/09/14,Plate,FB,0
HK,2,2014,SEP,21/09/14,Plate,PB,3
HK,2,2014,SEP,21/09/14,Plate,H,27
HK,2,2014,SEP,21/09/14,Solitary,FB,0
HK,2,2014,SEP,21/09/14,Solitary,PB,0
HK,2,2014,SEP,21/09/14,Solitary,H,5
